wenner48_1
         5.00
11
1
Type of measurement (0=app. resistivity,1=resistance)
1
360
 2
0
4  20.00  0.00 95.00  0.00 45.00  0.00 70.00  0.00 0.66080 
4  20.00  0.00 80.00  0.00 40.00  0.00 60.00  0.00 0.79911 
4  20.00  0.00 65.00  0.00 35.00  0.00 50.00  0.00 0.99552 
4  20.00  0.00 50.00  0.00 30.00  0.00 40.00  0.00 1.46671 
4  20.00  0.00 35.00  0.00 25.00  0.00 30.00  0.00 3.12410 
4  25.00  0.00 235.00  0.00 95.00  0.00 165.00  0.00 0.41883 
4  25.00  0.00 220.00  0.00 90.00  0.00 155.00  0.00 0.43719 
4  25.00  0.00 205.00  0.00 85.00  0.00 145.00  0.00 0.46054 
4  25.00  0.00 190.00  0.00 80.00  0.00 135.00  0.00 0.49157 
4  25.00  0.00 175.00  0.00 75.00  0.00 125.00  0.00 0.50219 
4  25.00  0.00 160.00  0.00 70.00  0.00 115.00  0.00 0.51263 
4  25.00  0.00 145.00  0.00 65.00  0.00 105.00  0.00 0.52343 
4  25.00  0.00 130.00  0.00 60.00  0.00 95.00  0.00 0.54786 
4  25.00  0.00 115.00  0.00 55.00  0.00 85.00  0.00 0.61401 
4  25.00  0.00 100.00  0.00 50.00  0.00 75.00  0.00 0.64172 
4  25.00  0.00 85.00  0.00 45.00  0.00 65.00  0.00 0.76494 
4  25.00  0.00 70.00  0.00 40.00  0.00 55.00  0.00 0.97807 
4  25.00  0.00 55.00  0.00 35.00  0.00 45.00  0.00 1.57960 
4  25.00  0.00 40.00  0.00 30.00  0.00 35.00  0.00 3.63243 
4  30.00  0.00 225.00  0.00 95.00  0.00 160.00  0.00 0.43891 
4  30.00  0.00 210.00  0.00 90.00  0.00 150.00  0.00 0.44998 
4  30.00  0.00 195.00  0.00 85.00  0.00 140.00  0.00 0.48279 
4  30.00  0.00 180.00  0.00 80.00  0.00 130.00  0.00 0.51435 
4  30.00  0.00 165.00  0.00 75.00  0.00 120.00  0.00 0.50363 
4  30.00  0.00 150.00  0.00 70.00  0.00 110.00  0.00 0.56136 
4  30.00  0.00 135.00  0.00 65.00  0.00 100.00  0.00 0.54454 
4  30.00  0.00 120.00  0.00 60.00  0.00 90.00  0.00 0.73083 
4  30.00  0.00 105.00  0.00 55.00  0.00 80.00  0.00 0.67922 
4  30.00  0.00 90.00  0.00 50.00  0.00 70.00  0.00 0.74466 
4  30.00  0.00 75.00  0.00 45.00  0.00 60.00  0.00 0.95200 
4  30.00  0.00 60.00  0.00 40.00  0.00 50.00  0.00 1.62053 
4  30.00  0.00 45.00  0.00 35.00  0.00 40.00  0.00 3.71374 
4  35.00  0.00 230.00  0.00 100.00  0.00 165.00  0.00 0.43251 
4  35.00  0.00 215.00  0.00 95.00  0.00 155.00  0.00 0.44864 
4  35.00  0.00 200.00  0.00 90.00  0.00 145.00  0.00 0.47280 
4  35.00  0.00 185.00  0.00 85.00  0.00 135.00  0.00 0.51534 
4  35.00  0.00 170.00  0.00 80.00  0.00 125.00  0.00 0.53786 
4  35.00  0.00 155.00  0.00 75.00  0.00 115.00  0.00 0.57898 
4  35.00  0.00 140.00  0.00 70.00  0.00 105.00  0.00 0.57841 
4  35.00  0.00 125.00  0.00 65.00  0.00 95.00  0.00 0.68581 
4  35.00  0.00 110.00  0.00 60.00  0.00 85.00  0.00 0.73275 
4  35.00  0.00 95.00  0.00 55.00  0.00 75.00  0.00 0.75781 
4  35.00  0.00 80.00  0.00 50.00  0.00 65.00  0.00 0.98998 
4  35.00  0.00 65.00  0.00 45.00  0.00 55.00  0.00 1.70443 
4  35.00  0.00 50.00  0.00 40.00  0.00 45.00  0.00 4.51882 
4  40.00  0.00 235.00  0.00 105.00  0.00 170.00  0.00 0.42280 
4  40.00  0.00 220.00  0.00 100.00  0.00 160.00  0.00 0.45284 
4  40.00  0.00 205.00  0.00 95.00  0.00 150.00  0.00 0.46205 
4  40.00  0.00 190.00  0.00 90.00  0.00 140.00  0.00 0.50161 
4  40.00  0.00 175.00  0.00 85.00  0.00 130.00  0.00 0.54703 
4  40.00  0.00 160.00  0.00 80.00  0.00 120.00  0.00 0.53919 
4  40.00  0.00 145.00  0.00 75.00  0.00 110.00  0.00 0.63202 
4  40.00  0.00 130.00  0.00 70.00  0.00 100.00  0.00 0.64817 
4  40.00  0.00 115.00  0.00 65.00  0.00 90.00  0.00 0.81830 
4  40.00  0.00 100.00  0.00 60.00  0.00 80.00  0.00 0.85189 
4  40.00  0.00 85.00  0.00 55.00  0.00 70.00  0.00 0.96485 
4  40.00  0.00 70.00  0.00 50.00  0.00 60.00  0.00 1.54211 
4  40.00  0.00 55.00  0.00 45.00  0.00 50.00  0.00 4.32238 
4  45.00  0.00 225.00  0.00 105.00  0.00 165.00  0.00 0.44368 
4  45.00  0.00 210.00  0.00 100.00  0.00 155.00  0.00 0.46220 
4  45.00  0.00 195.00  0.00 95.00  0.00 145.00  0.00 0.48956 
4  45.00  0.00 180.00  0.00 90.00  0.00 135.00  0.00 0.54215 
4  45.00  0.00 165.00  0.00 85.00  0.00 125.00  0.00 0.57645 
4  45.00  0.00 150.00  0.00 80.00  0.00 115.00  0.00 0.64505 
4  45.00  0.00 135.00  0.00 75.00  0.00 105.00  0.00 0.67894 
4  45.00  0.00 120.00  0.00 70.00  0.00 95.00  0.00 1.02984 
4  45.00  0.00 105.00  0.00 65.00  0.00 85.00  0.00 0.97657 
4  45.00  0.00 90.00  0.00 60.00  0.00 75.00  0.00 1.04058 
4  45.00  0.00 75.00  0.00 55.00  0.00 65.00  0.00 1.73674 
4  45.00  0.00 60.00  0.00 50.00  0.00 55.00  0.00 5.10358 
4  50.00  0.00 230.00  0.00 110.00  0.00 170.00  0.00 0.42742 
4  50.00  0.00 215.00  0.00 105.00  0.00 160.00  0.00 0.46268 
4  50.00  0.00 200.00  0.00 100.00  0.00 150.00  0.00 0.47386 
4  50.00  0.00 185.00  0.00 95.00  0.00 140.00  0.00 0.52287 
4  50.00  0.00 170.00  0.00 90.00  0.00 130.00  0.00 0.58281 
4  50.00  0.00 155.00  0.00 85.00  0.00 120.00  0.00 0.59537 
4  50.00  0.00 140.00  0.00 80.00  0.00 110.00  0.00 0.71672 
4  50.00  0.00 125.00  0.00 75.00  0.00 100.00  0.00 0.94517 
4  50.00  0.00 110.00  0.00 70.00  0.00 90.00  0.00 1.08420 
4  50.00  0.00 95.00  0.00 65.00  0.00 80.00  0.00 1.19430 
4  50.00  0.00 80.00  0.00 60.00  0.00 70.00  0.00 1.69118 
4  50.00  0.00 65.00  0.00 55.00  0.00 60.00  0.00 4.73716 
4  55.00  0.00 235.00  0.00 115.00  0.00 175.00  0.00 0.42774 
4  55.00  0.00 220.00  0.00 110.00  0.00 165.00  0.00 0.44312 
4  55.00  0.00 205.00  0.00 105.00  0.00 155.00  0.00 0.46759 
4  55.00  0.00 190.00  0.00 100.00  0.00 145.00  0.00 0.50470 
4  55.00  0.00 175.00  0.00 95.00  0.00 135.00  0.00 0.57018 
4  55.00  0.00 160.00  0.00 90.00  0.00 125.00  0.00 0.60951 
4  55.00  0.00 145.00  0.00 85.00  0.00 115.00  0.00 0.70888 
4  55.00  0.00 130.00  0.00 80.00  0.00 105.00  0.00 0.85661 
4  55.00  0.00 115.00  0.00 75.00  0.00 95.00  0.00 1.26191 
4  55.00  0.00 100.00  0.00 70.00  0.00 85.00  0.00 1.42490 
4  55.00  0.00 85.00  0.00 65.00  0.00 75.00  0.00 1.82655 
4  55.00  0.00 70.00  0.00 60.00  0.00 65.00  0.00 4.96383 
4  60.00  0.00 225.00  0.00 115.00  0.00 170.00  0.00 0.43975 
4  60.00  0.00 210.00  0.00 110.00  0.00 160.00  0.00 0.45692 
4  60.00  0.00 195.00  0.00 105.00  0.00 150.00  0.00 0.47897 
4  60.00  0.00 180.00  0.00 100.00  0.00 140.00  0.00 0.54263 
4  60.00  0.00 165.00  0.00 95.00  0.00 130.00  0.00 0.61431 
4  60.00  0.00 150.00  0.00 90.00  0.00 120.00  0.00 0.64185 
4  60.00  0.00 135.00  0.00 85.00  0.00 110.00  0.00 0.83119 
4  60.00  0.00 120.00  0.00 80.00  0.00 100.00  0.00 1.66445 
4  60.00  0.00 105.00  0.00 75.00  0.00 90.00  0.00 1.74796 
4  60.00  0.00 90.00  0.00 70.00  0.00 80.00  0.00 2.10054 
4  60.00  0.00 75.00  0.00 65.00  0.00 70.00  0.00 4.82616 
4  65.00  0.00 230.00  0.00 120.00  0.00 175.00  0.00 0.46748 
4  65.00  0.00 215.00  0.00 115.00  0.00 165.00  0.00 0.45398 
4  65.00  0.00 200.00  0.00 110.00  0.00 155.00  0.00 0.45779 
4  65.00  0.00 185.00  0.00 105.00  0.00 145.00  0.00 0.51443 
4  65.00  0.00 170.00  0.00 100.00  0.00 135.00  0.00 0.60518 
4  65.00  0.00 155.00  0.00 95.00  0.00 125.00  0.00 0.67461 
4  65.00  0.00 140.00  0.00 90.00  0.00 115.00  0.00 0.79757 
4  65.00  0.00 125.00  0.00 85.00  0.00 105.00  0.00 1.45288 
4  65.00  0.00 110.00  0.00 80.00  0.00 95.00  0.00 1.84880 
4  65.00  0.00 95.00  0.00 75.00  0.00 85.00  0.00 2.64904 
4  65.00  0.00 80.00  0.00 70.00  0.00 75.00  0.00 5.02008 
4  70.00  0.00 235.00  0.00 125.00  0.00 180.00  0.00 0.44067 
4  70.00  0.00 220.00  0.00 120.00  0.00 170.00  0.00 0.47960 
4  70.00  0.00 205.00  0.00 115.00  0.00 160.00  0.00 0.46680 
4  70.00  0.00 190.00  0.00 110.00  0.00 150.00  0.00 0.47062 
4  70.00  0.00 175.00  0.00 105.00  0.00 140.00  0.00 0.56350 
4  70.00  0.00 160.00  0.00 100.00  0.00 130.00  0.00 0.65571 
4  70.00  0.00 145.00  0.00 95.00  0.00 120.00  0.00 0.69839 
4  70.00  0.00 130.00  0.00 90.00  0.00 110.00  0.00 1.15797 
4  70.00  0.00 115.00  0.00 85.00  0.00 100.00  0.00 2.10064 
4  70.00  0.00 100.00  0.00 80.00  0.00 90.00  0.00 3.08019 
4  70.00  0.00 85.00  0.00 75.00  0.00 80.00  0.00 5.91816 
4  75.00  0.00 225.00  0.00 125.00  0.00 175.00  0.00 0.45388 
4  75.00  0.00 210.00  0.00 120.00  0.00 165.00  0.00 0.49227 
4  75.00  0.00 195.00  0.00 115.00  0.00 155.00  0.00 0.46666 
4  75.00  0.00 180.00  0.00 110.00  0.00 145.00  0.00 0.50980 
4  75.00  0.00 165.00  0.00 105.00  0.00 135.00  0.00 0.63675 
4  75.00  0.00 150.00  0.00 100.00  0.00 125.00  0.00 0.75724 
4  75.00  0.00 135.00  0.00 95.00  0.00 115.00  0.00 0.98411 
4  75.00  0.00 120.00  0.00 90.00  0.00 105.00  0.00 3.35665 
4  75.00  0.00 105.00  0.00 85.00  0.00 95.00  0.00 3.45293 
4  75.00  0.00 90.00  0.00 80.00  0.00 85.00  0.00 6.74188 
4  80.00  0.00 230.00  0.00 130.00  0.00 180.00  0.00 0.44686 
4  80.00  0.00 215.00  0.00 125.00  0.00 170.00  0.00 0.46883 
4  80.00  0.00 200.00  0.00 120.00  0.00 160.00  0.00 0.52694 
4  80.00  0.00 185.00  0.00 115.00  0.00 150.00  0.00 0.50345 
4  80.00  0.00 170.00  0.00 110.00  0.00 140.00  0.00 0.60327 
4  80.00  0.00 155.00  0.00 105.00  0.00 130.00  0.00 0.79703 
4  80.00  0.00 140.00  0.00 100.00  0.00 120.00  0.00 0.89811 
4  80.00  0.00 125.00  0.00 95.00  0.00 110.00  0.00 2.90529 
4  80.00  0.00 110.00  0.00 90.00  0.00 100.00  0.00 3.93351 
4  80.00  0.00 95.00  0.00 85.00  0.00 90.00  0.00 7.87439 
4  85.00  0.00 235.00  0.00 135.00  0.00 185.00  0.00 0.44473 
4  85.00  0.00 220.00  0.00 130.00  0.00 175.00  0.00 0.46667 
4  85.00  0.00 205.00  0.00 125.00  0.00 165.00  0.00 0.49562 
4  85.00  0.00 190.00  0.00 120.00  0.00 155.00  0.00 0.57985 
4  85.00  0.00 175.00  0.00 115.00  0.00 145.00  0.00 0.61209 
4  85.00  0.00 160.00  0.00 110.00  0.00 135.00  0.00 0.76955 
4  85.00  0.00 145.00  0.00 105.00  0.00 125.00  0.00 1.05874 
4  85.00  0.00 130.00  0.00 100.00  0.00 115.00  0.00 1.96206 
4  85.00  0.00 115.00  0.00 95.00  0.00 105.00  0.00 5.24884 
4  85.00  0.00 100.00  0.00 90.00  0.00 95.00  0.00 8.27906 
4  90.00  0.00 225.00  0.00 135.00  0.00 180.00  0.00 0.48001 
4  90.00  0.00 210.00  0.00 130.00  0.00 170.00  0.00 0.48515 
4  90.00  0.00 195.00  0.00 125.00  0.00 160.00  0.00 0.55394 
4  90.00  0.00 180.00  0.00 120.00  0.00 150.00  0.00 0.71866 
4  90.00  0.00 165.00  0.00 115.00  0.00 140.00  0.00 0.82524 
4  90.00  0.00 150.00  0.00 110.00  0.00 130.00  0.00 1.13980 
4  90.00  0.00 135.00  0.00 105.00  0.00 120.00  0.00 1.57970 
4  90.00  0.00 120.00  0.00 100.00  0.00 110.00  0.00 9.38054 
4  90.00  0.00 105.00  0.00 95.00  0.00 100.00  0.00 9.79069 
4  95.00  0.00 230.00  0.00 140.00  0.00 185.00  0.00 0.49745 
4  95.00  0.00 215.00  0.00 135.00  0.00 175.00  0.00 0.50374 
4  95.00  0.00 200.00  0.00 130.00  0.00 165.00  0.00 0.51579 
4  95.00  0.00 185.00  0.00 125.00  0.00 155.00  0.00 0.63507 
4  95.00  0.00 170.00  0.00 120.00  0.00 145.00  0.00 1.02253 
4  95.00  0.00 155.00  0.00 115.00  0.00 135.00  0.00 1.25732 
4  95.00  0.00 140.00  0.00 110.00  0.00 125.00  0.00 1.71835 
4  95.00  0.00 125.00  0.00 105.00  0.00 115.00  0.00 6.48162 
4  95.00  0.00 110.00  0.00 100.00  0.00 105.00  0.00 11.02956 
4  100.00  0.00 235.00  0.00 145.00  0.00 190.00  0.00 0.51067 
4  100.00  0.00 220.00  0.00 140.00  0.00 180.00  0.00 0.53708 
4  100.00  0.00 205.00  0.00 135.00  0.00 170.00  0.00 0.52147 
4  100.00  0.00 190.00  0.00 130.00  0.00 160.00  0.00 0.58579 
4  100.00  0.00 175.00  0.00 125.00  0.00 150.00  0.00 0.83690 
4  100.00  0.00 160.00  0.00 120.00  0.00 140.00  0.00 1.65450 
4  100.00  0.00 145.00  0.00 115.00  0.00 130.00  0.00 2.07386 
4  100.00  0.00 130.00  0.00 110.00  0.00 120.00  0.00 3.04958 
4  100.00  0.00 115.00  0.00 105.00  0.00 110.00  0.00 14.60973 
4  105.00  0.00 225.00  0.00 145.00  0.00 185.00  0.00 0.56277 
4  105.00  0.00 210.00  0.00 140.00  0.00 175.00  0.00 0.56501 
4  105.00  0.00 195.00  0.00 135.00  0.00 165.00  0.00 0.56945 
4  105.00  0.00 180.00  0.00 130.00  0.00 155.00  0.00 0.70602 
4  105.00  0.00 165.00  0.00 125.00  0.00 145.00  0.00 1.35485 
4  105.00  0.00 150.00  0.00 120.00  0.00 135.00  0.00 3.44423 
4  105.00  0.00 135.00  0.00 115.00  0.00 125.00  0.00 4.20424 
4  105.00  0.00 120.00  0.00 110.00  0.00 115.00  0.00 22.60070 
4  110.00  0.00 230.00  0.00 150.00  0.00 190.00  0.00 0.58791 
4  110.00  0.00 215.00  0.00 145.00  0.00 180.00  0.00 0.61615 
4  110.00  0.00 200.00  0.00 140.00  0.00 170.00  0.00 0.60218 
4  110.00  0.00 185.00  0.00 135.00  0.00 160.00  0.00 0.68390 
4  110.00  0.00 170.00  0.00 130.00  0.00 150.00  0.00 1.00160 
4  110.00  0.00 155.00  0.00 125.00  0.00 140.00  0.00 2.80301 
4  110.00  0.00 140.00  0.00 120.00  0.00 130.00  0.00 8.62654 
4  110.00  0.00 125.00  0.00 115.00  0.00 120.00  0.00 9.23728 
4  115.00  0.00 235.00  0.00 155.00  0.00 195.00  0.00 0.57716 
4  115.00  0.00 220.00  0.00 150.00  0.00 185.00  0.00 0.63669 
4  115.00  0.00 205.00  0.00 145.00  0.00 175.00  0.00 0.63921 
4  115.00  0.00 190.00  0.00 140.00  0.00 165.00  0.00 0.66314 
4  115.00  0.00 175.00  0.00 135.00  0.00 155.00  0.00 0.85237 
4  115.00  0.00 160.00  0.00 130.00  0.00 145.00  0.00 1.51391 
4  115.00  0.00 145.00  0.00 125.00  0.00 135.00  0.00 5.55797 
4  115.00  0.00 130.00  0.00 120.00  0.00 125.00  0.00 24.87209 
4  120.00  0.00 225.00  0.00 155.00  0.00 190.00  0.00 0.61666 
4  120.00  0.00 210.00  0.00 150.00  0.00 180.00  0.00 0.65086 
4  120.00  0.00 195.00  0.00 145.00  0.00 170.00  0.00 0.64125 
4  120.00  0.00 180.00  0.00 140.00  0.00 160.00  0.00 0.79209 
4  120.00  0.00 165.00  0.00 135.00  0.00 150.00  0.00 1.02390 
4  120.00  0.00 150.00  0.00 130.00  0.00 140.00  0.00 2.32493 
4  120.00  0.00 135.00  0.00 125.00  0.00 130.00  0.00 10.02560 
4  125.00  0.00 230.00  0.00 160.00  0.00 195.00  0.00 0.60168 
4  125.00  0.00 215.00  0.00 155.00  0.00 185.00  0.00 0.68140 
4  125.00  0.00 200.00  0.00 150.00  0.00 175.00  0.00 0.70879 
4  125.00  0.00 185.00  0.00 145.00  0.00 165.00  0.00 0.80947 
4  125.00  0.00 170.00  0.00 140.00  0.00 155.00  0.00 1.20172 
4  125.00  0.00 155.00  0.00 135.00  0.00 145.00  0.00 2.29071 
4  125.00  0.00 140.00  0.00 130.00  0.00 135.00  0.00 8.25132 
4  130.00  0.00 235.00  0.00 165.00  0.00 200.00  0.00 0.59306 
4  130.00  0.00 220.00  0.00 160.00  0.00 190.00  0.00 0.66210 
4  130.00  0.00 205.00  0.00 155.00  0.00 180.00  0.00 0.74072 
4  130.00  0.00 190.00  0.00 150.00  0.00 170.00  0.00 0.82120 
4  130.00  0.00 175.00  0.00 145.00  0.00 160.00  0.00 1.36401 
4  130.00  0.00 160.00  0.00 140.00  0.00 150.00  0.00 1.88213 
4  130.00  0.00 145.00  0.00 135.00  0.00 140.00  0.00 6.86905 
4  135.00  0.00 225.00  0.00 165.00  0.00 195.00  0.00 0.66313 
4  135.00  0.00 210.00  0.00 160.00  0.00 185.00  0.00 0.70510 
4  135.00  0.00 195.00  0.00 155.00  0.00 175.00  0.00 0.84284 
4  135.00  0.00 180.00  0.00 150.00  0.00 165.00  0.00 1.35777 
4  135.00  0.00 165.00  0.00 145.00  0.00 155.00  0.00 2.43320 
4  135.00  0.00 150.00  0.00 140.00  0.00 145.00  0.00 6.32191 
4  140.00  0.00 230.00  0.00 170.00  0.00 200.00  0.00 0.64102 
4  140.00  0.00 215.00  0.00 165.00  0.00 190.00  0.00 0.72666 
4  140.00  0.00 200.00  0.00 160.00  0.00 180.00  0.00 0.80884 
4  140.00  0.00 185.00  0.00 155.00  0.00 170.00  0.00 1.37386 
4  140.00  0.00 170.00  0.00 150.00  0.00 160.00  0.00 3.21429 
4  140.00  0.00 155.00  0.00 145.00  0.00 150.00  0.00 8.68652 
4  145.00  0.00 235.00  0.00 175.00  0.00 205.00  0.00 0.59692 
4  145.00  0.00 220.00  0.00 170.00  0.00 195.00  0.00 0.73108 
4  145.00  0.00 205.00  0.00 165.00  0.00 185.00  0.00 0.83580 
4  145.00  0.00 190.00  0.00 160.00  0.00 175.00  0.00 1.20735 
4  145.00  0.00 175.00  0.00 155.00  0.00 165.00  0.00 3.91939 
4  145.00  0.00 160.00  0.00 150.00  0.00 155.00  0.00 7.50890 
4  150.00  0.00 225.00  0.00 175.00  0.00 200.00  0.00 0.70622 
4  150.00  0.00 210.00  0.00 170.00  0.00 190.00  0.00 0.85838 
4  150.00  0.00 195.00  0.00 165.00  0.00 180.00  0.00 1.20249 
4  150.00  0.00 180.00  0.00 160.00  0.00 170.00  0.00 3.25618 
4  150.00  0.00 165.00  0.00 155.00  0.00 160.00  0.00 10.29796 
4  155.00  0.00 230.00  0.00 180.00  0.00 205.00  0.00 0.67154 
4  155.00  0.00 215.00  0.00 175.00  0.00 195.00  0.00 0.89913 
4  155.00  0.00 200.00  0.00 170.00  0.00 185.00  0.00 1.32974 
4  155.00  0.00 185.00  0.00 165.00  0.00 175.00  0.00 3.23311 
4  155.00  0.00 170.00  0.00 160.00  0.00 165.00  0.00 11.05761 
4  160.00  0.00 235.00  0.00 185.00  0.00 210.00  0.00 0.67800 
4  160.00  0.00 220.00  0.00 180.00  0.00 200.00  0.00 0.88550 
4  160.00  0.00 205.00  0.00 175.00  0.00 190.00  0.00 1.42034 
4  160.00  0.00 190.00  0.00 170.00  0.00 180.00  0.00 3.26570 
4  160.00  0.00 175.00  0.00 165.00  0.00 170.00  0.00 12.27759 
4  165.00  0.00 225.00  0.00 185.00  0.00 205.00  0.00 0.84254 
4  165.00  0.00 210.00  0.00 180.00  0.00 195.00  0.00 1.34512 
4  165.00  0.00 195.00  0.00 175.00  0.00 185.00  0.00 3.29058 
4  165.00  0.00 180.00  0.00 170.00  0.00 175.00  0.00 13.23735 
4  170.00  0.00 230.00  0.00 190.00  0.00 210.00  0.00 0.84946 
4  170.00  0.00 215.00  0.00 185.00  0.00 200.00  0.00 1.23117 
4  170.00  0.00 200.00  0.00 180.00  0.00 190.00  0.00 2.83903 
4  170.00  0.00 185.00  0.00 175.00  0.00 180.00  0.00 12.62923 
4  175.00  0.00 235.00  0.00 195.00  0.00 215.00  0.00 0.84675 
4  175.00  0.00 220.00  0.00 190.00  0.00 205.00  0.00 1.13722 
4  175.00  0.00 205.00  0.00 185.00  0.00 195.00  0.00 2.38691 
4  175.00  0.00 190.00  0.00 180.00  0.00 185.00  0.00 10.62520 
4  180.00  0.00 225.00  0.00 195.00  0.00 210.00  0.00 1.14148 
4  180.00  0.00 210.00  0.00 190.00  0.00 200.00  0.00 1.81922 
4  180.00  0.00 195.00  0.00 185.00  0.00 190.00  0.00 7.03701 
4  185.00  0.00 230.00  0.00 200.00  0.00 215.00  0.00 1.12827 
4  185.00  0.00 215.00  0.00 195.00  0.00 205.00  0.00 1.51237 
